Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ENSV,Enservco Corporation Common Stock,$1.03,0.042,4.251%,11775253.00,United States,,111409,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.065,0.035,0.291%,218597217.00,United States,2002,29885,Finance,Finance/Investors Services
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.29,0.18,3.523%,177911952.00,United States,,66304,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$6.91,0.00,0.00%,2077679756.00,Canada,,450851,,
ERC,Allspring Multi-Sector Income Fund Common Stock,$13.25,0.02,0.151%,371895687.00,United States,2003,28975,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$14.9275,-0.0225,-0.151%,138619452.00,,2004,4320,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$14.48,0.15,1.047%,35171746.00,United States,,1550,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$39.93,0.21,0.529%,218290242.00,United States,,550,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$31.01,-0.08,-0.257%,409633045.00,United States,,3704,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.71,0.02,0.171%,292683710.00,United States,2002,24271,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$13.14,-0.02,-0.152%,1526477190.00,United States,2003,172202,Finance,Finance/Investors Services
EXN,Excellon Resources Inc. Common Shares,$1.2284,0.0284,2.367%,40604627.00,,2020,800,,
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$3.895,-0.055,-1.392%,964775020.00,United States,1986,2454547,Finance,Investment Managers
FCO,Aberdeen Global Income Fund Inc. Common Stock,$7.4085,-0.1415,-1.874%,64767478.00,United States,1992,86314,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$13.54,0.02,0.148%,263293018.00,United States,2004,23880,Finance,Finance/Investors Services
FRD,Friedman Industries Inc. Common Stock,$9.77,-0.12,-1.213%,67467096.00,United States,,12480,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.52,0.03,0.86%,43391906.00,Canada,,19378,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$6.56,0.16,2.50%,692950676.00,United States,,209166,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$8.85,0.04,0.454%,266798826.00,United States,2003,61997,Finance,Finance/Investors Services
FTSI,FTS International Inc. Class A Common Stock,$26.225,0.085,0.325%,368798267.00,United States,2020,459579,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$0.6868,0.0568,9.016%,86119351.00,,2020,236417,,
GAU,Galiano Gold Inc.,$0.7273,-0.0067,-0.913%,163601373.00,Canada,,13953,,
GBR,New Concept Energy Inc Common Stock,$2.86,0.12,4.38%,14677331.00,United States,,72795,Consumer Services,Real Estate
GDP,Goodrich Petroleum Corporation Common Stock,$22.945,0.015,0.065%,330203881.00,United States,2017,61142,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.7933,-0.0067,-0.176%,584308302.00,United States,2005,173867,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.3833,-0.0267,-0.105%,,United States,,1841,,
GLDG,GoldMining Inc. Common Shares,$1.2146,-0.0454,-3.603%,181877690.00,,,133166,,
GLO,Clough Global Opportunities Fund Common Stock,$11.70,-0.04,-0.341%,465929591.00,United States,2006,103264,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$14.33,-0.03,-0.209%,252960196.00,United States,2005,24385,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$9.93,0.00,0.00%,178429688.00,,2021,101,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$20.54,0.69,3.476%,110404328.00,United States,2004,8731,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$47.24,0.00,0.00%,,United States,,10,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$51.5432,0.00,0.00%,,United States,,97,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$10.935,-0.005,-0.046%,122892123.00,United States,2004,47909,Finance,Finance/Investors Services
GOED,1847 Goedeker Inc. Commom Stock,$2.10,-0.05,-2.326%,223413397.00,United States,2020,1125919,Capital Goods,Recreational Products/Toys
GORO,Gold Resource Corporation Common Stock,$1.865,-0.015,-0.798%,139094831.00,United States,,299076,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.2615,0.0015,0.577%,116480707.00,Canada,,965795,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.50,-0.03,-0.352%,34503345.00,United States,,2940,Finance,Finance/Investors Services
GROY,Gold Royalty Corp. Common Shares,$4.9201,0.1001,2.077%,658309380.00,,2021,148836,,
GSAT,Globalstar Inc. Common Stock,$1.375,0.055,4.167%,2465375000.00,United States,2006,3312897,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.74,-0.02,-0.532%,432811676.00,United States,,397590,,
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.4208,-0.0192,-4.364%,150633882.00,Canada,,315895,,
GTE,Gran Tierra Energy Inc. Common Stock,$0.761,0.0009,0.118%,279396965.00,Canada,,1107436,Energy,Oil & Gas Production
HMG,HMG/Courtland Properties Inc. Common Stock,$22.00,0.00,0.00%,22370656.00,United States,,99,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Fund Inc.,$15.432,0.012,0.078%,128591615.00,United States,2007,5873,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.64,0.02,1.235%,16282474.00,United States,,23812,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$76.60,0.00,0.00%,,United States,,146,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.93,0.02,0.338%,139326127.00,United States,,53327,Finance,Finance/Investors Services
IBIO,iBio Inc. Common Stock,$0.70,-0.0112,-1.575%,152570316.00,United States,,1059769,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$2.628,0.198,8.148%,87179842.00,United States,2017,57082,Miscellaneous,Diversified Commercial Services
IDW,IDW Media Holdings Class B Common Stock,$2.6838,0.1838,7.352%,34793964.00,,2021,6842,Consumer Services,Newspapers/Magazines
IGC,India Globalization Capital Inc. Common Stock,$1.2501,0.0201,1.634%,63818876.00,United States,,295268,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.6899,0.1899,7.596%,24533852.00,United States,,21945,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$1.23,0.10,8.85%,26239201.00,United States,1997,38716,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$35.23,0.04,0.114%,24506387367.00,Canada,,138003,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$3.17,-0.18,-5.373%,23594167.00,,2019,10611,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$17.72,0.99,5.918%,365908201.00,United States,,52552,Health Care,Medical/Dental Instruments
INTT,inTest Corporation Common Stock,$14.9261,0.2961,2.024%,162297336.00,United States,1997,43009,Technology,Semiconductors
INUV,Inuvo Inc.,$0.6046,0.0415,7.37%,71794706.00,United States,,438114,Technology,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.89,-0.4657,-3.769%,49562442.00,United States,,308,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$31.22,0.57,1.86%,118356206.00,United States,,600,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),$0.4684,0.0042,0.905%,66473111.00,United States,,119067,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.2861,-0.0008,-0.279%,28338176.00,China,,526398,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,$2.2819,0.0119,0.524%,141722659.00,,,14627,,
JOB,GEE Group Inc. Common Stock,$0.4308,0.0008,0.186%,49154476.00,United States,,332310,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.5003,0.0032,0.644%,27151324.00,Canada,,66771,,
KULR,KULR Technology Group Inc. Common Stock,$3.1588,-0.0612,-1.901%,330843570.00,United States,,554517,,
